0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:05 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:12 +0530] "GET /collaborationFrontEnd/views/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:12 +0530] "GET /collaborationFrontEnd/lib/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:12 +0530] "GET /collaborationFrontEnd/images/login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:12 +0530] "GET /collaborationControllers/viewMyJobs HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:12 +0530] "GET /collaborationControllers/viewMyJobs HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:27 +0530] "POST /collaborationControllers/login HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:27 +0530] "GET /collaborationFrontEnd/images/admin HTTP/1.1" 200 43272
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:33 +0530] "GET /collaborationFrontEnd/C_user/myProfile.html HTTP/1.1" 200 8199
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:33 +0530] "GET /collaborationFrontEnd/images/white.jpg HTTP/1.1" 200 55745
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:33 +0530] "GET /collaborationControllers/myFriends HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:33 +0530] "GET /collaborationControllers/viewMyJobs HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:33 +0530] "GET /collaborationControllers/viewPendingRequest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:33 +0530] "GET /collaborationControllers/viewSentRequest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:42 +0530] "GET /collaborationControllers/viewMyJobs HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:42 +0530] "GET /collaborationControllers/viewMyJobs HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:42 +0530] "GET /collaborationControllers/logout HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:43 +0530] "GET /collaborationFrontEnd/C_user/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:43 +0530] "GET /collaborationFrontEnd/lib/css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:43 +0530] "GET /collaborationControllers/viewMyJobs HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:43 +0530] "GET /collaborationControllers/viewMyJobs HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:44 +0530] "GET /collaborationFrontEnd/images/signup.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:44 +0530] "GET /collaborationFrontEnd/lib/img/bg_infobox.gif HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:44 +0530] "GET /collaborationFrontEnd/lib/img/overlay.png HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:44 +0530] "GET /collaborationFrontEnd/lib/img/h1.png HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:53:51 +0530] "POST /collaborationControllers/add_User HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:54:00 +0530] "GET /collaborationControllers/viewMyJobs HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:54:00 +0530] "GET /collaborationControllers/viewMyJobs HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:54:06 +0530] "POST /collaborationControllers/login HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:54:12 +0530] "GET /collaborationFrontEnd/C_admin/adminHome.html HTTP/1.1" 200 1858
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:54:12 +0530] "GET /collaborationFrontEnd/images/admin.jpg HTTP/1.1" 200 1752065
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:54:15 +0530] "GET /collaborationFrontEnd/C_admin/manageUsers.html HTTP/1.1" 200 2139
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:54:15 +0530] "GET /collaborationControllers/getUserList HTTP/1.1" 200 850
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:54:15 +0530] "GET /collaborationControllers/viewAllForums HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:54:15 +0530] "GET /collaborationControllers/getAllJobs HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:54:15 +0530] "GET /collaborationControllers/getEvents HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:54:15 +0530] "GET /collaborationControllers/viewApplications HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:54:15 +0530] "GET /collaborationControllers/admin_getAllBlogs HTTP/1.1" 500 3703
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:54:15 +0530] "GET /collaborationControllers/getUserList HTTP/1.1" 200 850
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:54:15 +0530] "GET /collaborationControllers/viewAllForums HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:54:15 +0530] "GET /collaborationControllers/getAllJobs HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:54:15 +0530] "GET /collaborationControllers/getEvents HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:54:16 +0530] "GET /collaborationControllers/viewApplications HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:54:16 +0530] "GET /collaborationControllers/admin_getAllBlogs HTTP/1.1" 500 3703
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:54:18 +0530] "POST /collaborationControllers/updateUser HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:54:19 +0530] "POST /collaborationControllers/updateUser HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:54:21 +0530] "GET /collaborationControllers/viewMyJobs HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:54:22 +0530] "GET /collaborationControllers/viewMyJobs HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:54:22 +0530] "GET /collaborationControllers/logout HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:54:37 +0530] "POST /collaborationControllers/login HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:54:37 +0530] "GET /collaborationFrontEnd/images/sammy HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:54:37 +0530] "GET /collaborationFrontEnd/images/profilepic.png HTTP/1.1" 200 2391
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:54:41 +0530] "GET /collaborationControllers/viewMyJobs HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:54:41 +0530] "GET /collaborationControllers/viewMyJobs HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:54:42 +0530] "GET /collaborationControllers/logout HTTP/1.1" 200 259
